epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5865,2.92402,10.3944,0.00516,0.04144,0.02128,0.00753,0.00306,2.58899,7.59894,0.00291,0.00018337,0.00018337,0.00018337
2,35.0721,2.35128,7.41999,0.00396,0.08968,0.11405,0.03504,0.00937,2.4737,5.97902,0.00266,0.000382145,0.000382145,0.000382145
3,38.5537,2.30154,5.22385,0.00331,0.09614,0.12273,0.04338,0.01424,2.39508,4.48859,0.00247,0.000579599,0.000579599,0.000579599
4,41.9615,2.41686,4.16484,0.00311,0.30706,0.40117,0.23664,0.08494,2.57018,3.46617,0.00291,0.000775733,0.000775733,0.000775733
5,45.8372,2.43265,3.23758,0.00289,0.50081,0.41659,0.40481,0.13957,2.51488,2.2917,0.00268,0.000970547,0.000970547,0.000970547
6,50.8352,2.28594,2.88104,0.00327,0.58812,0.36087,0.43424,0.16618,2.50007,2.09057,0.00273,0.00116404,0.00116404,0.00116404
7,54.2447,2.20733,2.36526,0.00322,0.49667,0.41436,0.39982,0.15181,2.6295,1.78318,0.00304,0.00135621,0.00135621,0.00135621
8,57.7338,2.22946,2.37026,0.00346,0.50284,0.35137,0.43179,0.15797,2.68998,1.7627,0.00313,0.00154707,0.00154707,0.00154707
9,62.0149,2.40341,2.26086,0.00351,0.51646,0.43016,0.40485,0.1549,2.72437,1.91318,0.00298,0.00162299,0.00162299,0.00162299
10,65.2506,2.25496,2.13663,0.0036,0.45713,0.39725,0.38513,0.14613,2.76073,1.97373,0.00306,0.00161749,0.00161749,0.00161749
11,68.5959,2.45575,2.13816,0.00333,0.53058,0.39331,0.40801,0.17133,2.57798,1.76122,0.0028,0.00161199,0.00161199,0.00161199
12,72.0798,2.40373,1.80703,0.00317,0.46438,0.34137,0.35244,0.13916,2.70165,1.87645,0.00308,0.00160649,0.00160649,0.00160649
13,76.1201,2.3668,1.7988,0.00355,0.51763,0.33735,0.37804,0.13649,2.67544,1.99004,0.00311,0.00160099,0.00160099,0.00160099
14,79.3949,2.30846,1.79645,0.00315,0.4871,0.44218,0.44985,0.17487,2.55658,1.69635,0.00277,0.00159549,0.00159549,0.00159549
15,83.3379,2.33058,1.79756,0.0033,0.50534,0.51711,0.50518,0.17937,2.60021,1.50539,0.00291,0.00158998,0.00158998,0.00158998
16,87.7319,2.4859,1.70654,0.00317,0.55264,0.50216,0.51158,0.19691,2.49513,1.50844,0.00289,0.00158448,0.00158448,0.00158448
17,91.1729,2.2353,1.71877,0.00328,0.51233,0.48358,0.47431,0.17806,2.52784,1.66764,0.00291,0.00157898,0.00157898,0.00157898
18,94.4273,2.29155,1.42747,0.00329,0.49102,0.50579,0.4739,0.17809,2.48036,1.63028,0.00289,0.00157348,0.00157348,0.00157348
19,97.6872,2.41278,1.57254,0.00325,0.47225,0.50751,0.48742,0.20805,2.49015,1.5225,0.00279,0.00156798,0.00156798,0.00156798
20,102.154,2.28703,1.36479,0.0026,0.48725,0.56738,0.50336,0.19752,2.52813,1.4753,0.0028,0.00156248,0.00156248,0.00156248
21,105.439,2.34184,1.52944,0.00305,0.5313,0.49584,0.47871,0.18462,2.68336,1.37516,0.00315,0.00155698,0.00155698,0.00155698
22,108.697,2.3788,1.56283,0.00313,0.72068,0.43794,0.5226,0.19116,2.56433,1.45418,0.00287,0.00155148,0.00155148,0.00155148
23,112.492,2.20722,1.46186,0.00378,0.55869,0.54224,0.569,0.23023,2.50981,1.35996,0.00283,0.00154598,0.00154598,0.00154598
24,116.149,2.14663,1.36091,0.0035,0.54744,0.55874,0.56713,0.23709,2.46565,1.37612,0.00274,0.00154047,0.00154047,0.00154047
25,119.493,2.23285,1.36229,0.00286,0.72995,0.55288,0.62838,0.25695,2.39865,1.21065,0.00262,0.00153497,0.00153497,0.00153497
26,122.858,2.18059,1.31396,0.00285,0.7257,0.5485,0.62281,0.25641,2.45571,1.24533,0.0027,0.00152947,0.00152947,0.00152947
27,127.102,2.25693,1.35398,0.00313,0.69158,0.53951,0.58569,0.20316,2.67491,1.32359,0.00304,0.00152397,0.00152397,0.00152397
28,130.422,2.29006,1.28463,0.00329,0.68736,0.53453,0.58085,0.20105,2.64351,1.36017,0.00293,0.00151847,0.00151847,0.00151847
29,133.746,2.21293,1.25061,0.00304,0.71756,0.46346,0.55055,0.19963,2.50307,1.67373,0.00286,0.00151297,0.00151297,0.00151297
30,137.3,2.29855,1.28216,0.00282,0.75741,0.52348,0.58599,0.21131,2.5004,1.45621,0.00281,0.00150747,0.00150747,0.00150747
31,141.214,2.22559,1.2665,0.00288,0.62618,0.57416,0.62391,0.22664,2.4249,1.26507,0.00267,0.00150197,0.00150197,0.00150197
32,144.54,2.16748,1.2786,0.00312,0.61021,0.54712,0.59532,0.22817,2.47902,1.27253,0.00274,0.00149647,0.00149647,0.00149647
33,147.826,2.20352,1.23532,0.00312,0.80429,0.45755,0.58873,0.25889,2.32614,1.34724,0.0026,0.00149096,0.00149096,0.00149096
34,151.961,2.19673,1.29706,0.00265,0.6255,0.51326,0.559,0.24429,2.38759,1.28416,0.00259,0.00148546,0.00148546,0.00148546
35,155.497,2.24013,1.17258,0.00264,0.67914,0.48042,0.5187,0.21332,2.53081,1.38854,0.00278,0.00147996,0.00147996,0.00147996
36,158.764,2.05834,1.26623,0.00293,0.61009,0.48221,0.51969,0.21478,2.50418,1.383,0.00275,0.00147446,0.00147446,0.00147446
37,162.162,2.15841,1.13595,0.0027,0.70288,0.4289,0.51242,0.21567,2.56882,1.24894,0.00284,0.00146896,0.00146896,0.00146896
38,166.485,2.27051,1.31339,0.00298,0.66431,0.51033,0.5307,0.22054,2.57978,1.24059,0.00286,0.00146346,0.00146346,0.00146346
39,169.858,2.36987,1.3246,0.00265,0.74266,0.53454,0.59509,0.22903,2.47338,1.32696,0.00283,0.00145796,0.00145796,0.00145796
40,173.224,2.13133,1.09042,0.00311,0.69833,0.56139,0.59598,0.24032,2.42084,1.30185,0.00278,0.00145246,0.00145246,0.00145246
41,177.215,2.14854,1.3211,0.00313,0.64054,0.60268,0.61883,0.24941,2.46444,1.35049,0.00274,0.00144696,0.00144696,0.00144696
42,180.807,2.08025,1.20476,0.00302,0.60825,0.60569,0.62315,0.22834,2.57496,1.30531,0.00291,0.00144145,0.00144145,0.00144145
43,184.234,2.07819,1.06622,0.00334,0.71745,0.54471,0.6299,0.24,2.51241,1.21802,0.00284,0.00143595,0.00143595,0.00143595
44,187.61,2.02064,1.16354,0.00315,0.77003,0.55372,0.64075,0.24984,2.48319,1.21776,0.00273,0.00143045,0.00143045,0.00143045
45,191.973,2.11564,1.15222,0.00249,0.78782,0.56542,0.65189,0.27882,2.37327,1.10278,0.00262,0.00142495,0.00142495,0.00142495
46,195.388,2.17318,1.05956,0.00276,0.83827,0.56225,0.65604,0.27201,2.34979,1.15004,0.00259,0.00141945,0.00141945,0.00141945
47,198.773,2.12013,1.15025,0.00268,0.78267,0.55196,0.6281,0.24767,2.45633,1.1934,0.0028,0.00141395,0.00141395,0.00141395
48,202.644,2.10724,1.14417,0.00311,0.84713,0.5737,0.65448,0.25254,2.47493,1.11759,0.00277,0.00140845,0.00140845,0.00140845
49,206.383,2.0664,1.08928,0.00259,0.84316,0.56738,0.64968,0.22343,2.62493,1.21639,0.00294,0.00140295,0.00140295,0.00140295
50,209.676,2.05657,1.06516,0.00321,0.79512,0.56792,0.62641,0.23085,2.57046,1.21196,0.00285,0.00139745,0.00139745,0.00139745
51,213.005,2.0537,0.97962,0.00272,0.8487,0.496,0.62664,0.2543,2.52909,1.15381,0.00277,0.00139195,0.00139195,0.00139195
52,217.369,2.0185,1.00313,0.00261,0.85519,0.51264,0.64593,0.25786,2.53392,1.19036,0.00285,0.00138644,0.00138644,0.00138644
53,220.707,2.00329,1.044,0.00274,0.80142,0.57416,0.65889,0.28037,2.43369,1.08678,0.00274,0.00138094,0.00138094,0.00138094
54,224.13,2.08798,0.99964,0.00293,0.77104,0.56251,0.65169,0.26877,2.43267,1.13612,0.00275,0.00137544,0.00137544,0.00137544
55,227.625,2.01642,0.9119,0.00311,0.77237,0.55628,0.62276,0.26594,2.4409,1.21413,0.00271,0.00136994,0.00136994,0.00136994
56,231.774,2.05731,1.03321,0.00281,0.72716,0.5773,0.60552,0.27275,2.42808,1.18078,0.00267,0.00136444,0.00136444,0.00136444
57,235.193,2.04011,0.94617,0.00235,0.66841,0.61463,0.64391,0.2665,2.4323,1.11339,0.00262,0.00135894,0.00135894,0.00135894
58,238.46,2.09081,1.07053,0.00313,0.8151,0.53587,0.64753,0.25707,2.44673,1.15611,0.00265,0.00135344,0.00135344,0.00135344
59,242.707,1.97884,0.9615,0.00249,0.76629,0.56738,0.6312,0.23843,2.42364,1.29135,0.0026,0.00134794,0.00134794,0.00134794
60,246.145,2.14696,1.04158,0.00264,0.74629,0.57462,0.61521,0.2445,2.44433,1.23546,0.00261,0.00134244,0.00134244,0.00134244
61,249.53,1.98814,0.94715,0.00312,0.83409,0.56885,0.65259,0.26368,2.41642,1.18506,0.00267,0.00133693,0.00133693,0.00133693
62,252.944,2.06843,1.00834,0.00307,0.76673,0.57416,0.63376,0.25595,2.44418,1.22358,0.00281,0.00133143,0.00133143,0.00133143
63,257.264,2.01326,0.95331,0.00272,0.82894,0.53708,0.64246,0.26094,2.47979,1.19486,0.00288,0.00132593,0.00132593,0.00132593
64,260.598,2.05852,0.91943,0.00275,0.83902,0.54844,0.6434,0.27808,2.41689,1.16204,0.00274,0.00132043,0.00132043,0.00132043
65,264.032,2.00169,0.90744,0.00268,0.81591,0.56013,0.64428,0.27378,2.39433,1.17,0.00264,0.00131493,0.00131493,0.00131493
66,268.192,2.08853,1.02633,0.00293,0.82276,0.57077,0.63958,0.25394,2.46488,1.23427,0.00274,0.00130943,0.00130943,0.00130943
67,271.733,2.09118,0.96585,0.00284,0.7431,0.57801,0.63728,0.23722,2.48302,1.16209,0.00272,0.00130393,0.00130393,0.00130393
68,275.18,2.14027,1.12924,0.00245,0.71571,0.57462,0.60998,0.22032,2.49072,1.15085,0.00272,0.00129843,0.00129843,0.00129843
69,278.566,1.99992,1.02266,0.00281,0.79779,0.5461,0.63806,0.24895,2.51448,1.13316,0.00278,0.00129293,0.00129293,0.00129293
70,282.874,2.19961,1.04874,0.00259,0.84059,0.53546,0.62633,0.25513,2.48431,1.1941,0.00271,0.00128742,0.00128742,0.00128742
71,286.345,2.07216,0.98319,0.0025,0.66909,0.61764,0.61982,0.24997,2.45003,1.20849,0.00261,0.00128192,0.00128192,0.00128192
72,289.684,2.11877,0.96041,0.00296,0.67875,0.61039,0.62064,0.25703,2.43142,1.16926,0.00258,0.00127642,0.00127642,0.00127642
73,293.741,2.09092,0.92598,0.00274,0.78639,0.5714,0.61504,0.24962,2.51962,1.16876,0.00279,0.00127092,0.00127092,0.00127092
74,297.478,1.92786,0.87549,0.00289,0.74251,0.57711,0.61686,0.25128,2.47604,1.14069,0.00268,0.00126542,0.00126542,0.00126542
75,300.86,2.06636,1.06288,0.00258,0.73676,0.57143,0.60292,0.25399,2.45448,1.0901,0.00262,0.00125992,0.00125992,0.00125992
76,304.229,1.96241,0.96515,0.00269,0.79625,0.56344,0.62636,0.2594,2.45182,1.1208,0.00268,0.00125442,0.00125442,0.00125442
77,308.591,2.05298,0.89599,0.00283,0.79818,0.56725,0.60722,0.24934,2.47243,1.18798,0.00267,0.00124892,0.00124892,0.00124892
78,311.978,2.10297,1.02107,0.00259,0.8672,0.53932,0.6258,0.25902,2.43374,1.11371,0.00262,0.00124342,0.00124342,0.00124342
79,315.424,1.97928,0.9351,0.00263,0.69089,0.62,0.6385,0.26906,2.4514,1.0513,0.00273,0.00123791,0.00123791,0.00123791
80,319.226,1.82949,0.8623,0.00265,0.65429,0.60315,0.6153,0.25279,2.4917,1.1305,0.00281,0.00123241,0.00123241,0.00123241
81,323.124,2.06927,1.01813,0.00248,0.76887,0.58145,0.62453,0.23957,2.53756,1.26856,0.00279,0.00122691,0.00122691,0.00122691
82,326.54,2.0118,0.96262,0.00277,0.66564,0.58865,0.57248,0.2253,2.51028,1.29054,0.00267,0.00122141,0.00122141,0.00122141
83,329.921,2.04873,0.95491,0.00262,0.697,0.56979,0.60444,0.24303,2.54571,1.26101,0.00287,0.00121591,0.00121591,0.00121591
84,334.327,1.93135,0.84908,0.00289,0.7795,0.54564,0.61382,0.22649,2.64016,1.29803,0.00309,0.00121041,0.00121041,0.00121041
85,337.721,1.93454,0.87373,0.00284,0.75367,0.56738,0.64563,0.26527,2.45244,1.21745,0.00264,0.00120491,0.00120491,0.00120491
86,341.121,1.8672,0.8805,0.00235,0.7014,0.57275,0.61883,0.25424,2.46468,1.19804,0.00261,0.00119941,0.00119941,0.00119941
87,344.768,1.90464,0.87009,0.00271,0.73727,0.57661,0.64568,0.25328,2.55865,1.164,0.00284,0.00119391,0.00119391,0.00119391
88,348.817,2.00002,0.88397,0.00282,0.82381,0.52249,0.61952,0.24618,2.559,1.19567,0.00282,0.0011884,0.0011884,0.0011884
89,352.196,1.86981,0.79442,0.00256,0.76105,0.5414,0.61179,0.24459,2.45308,1.17509,0.00258,0.0011829,0.0011829,0.0011829
90,355.617,1.90085,0.81765,0.00239,0.69105,0.50987,0.566,0.2357,2.4266,1.18344,0.00253,0.0011774,0.0011774,0.0011774
91,359.761,2.06481,0.9714,0.00244,0.62866,0.55352,0.57398,0.24427,2.40318,1.23722,0.00258,0.0011719,0.0011719,0.0011719
92,363.252,1.90912,0.78367,0.00279,0.78519,0.56013,0.62245,0.24656,2.38961,1.25318,0.00264,0.0011664,0.0011664,0.0011664
